FID,OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_,STATE_CODE,ARPT_ID,CITY,COUNTRY_CO,REGION_COD,ADO_CODE,STATE_NAME,COUNTY_NAM,COUNTY_ASS,ARPT_NAME,OWNERSHIP_,FACILITY_U,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMA,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIM,SURVEY_MET,ELEV,ELEV_METHO,geometry
16,16,2022-12-01 00:00:00+00:00,00135.,A,AL,26A,ASHLAND/LINEVILLE,US,ASO,JAN,ALABAMA,CLAY,AL,ASHLAND/LINEVILLE,PU,PU,33,17,3.11,N,33.28419722,85,48,32.275,W,-85.80896528,E,1065.0,S,POINT (-85.8089652775989 33.2841972219977)
18,18,2022-12-01 00:00:00+00:00,00137.,A,AL,AL60,ASHVILLE,US,ASO,JAN,ALABAMA,ST CLAIR,AL,DUGGER'S FLD,PR,PR,33,50,19.355,N,33.83870972,86,12,40.915,W,-86.21136528,E,560.0,E,POINT (-86.2113652776419 33.838709722493)
20,20,2022-12-01 00:00:00+00:00,00140.1,A,AL,0R1,ATMORE,US,ASO,JAN,ALABAMA,ESCAMBIA,AL,ATMORE MUNI,PU,PU,31,0,58.1,N,31.01613889,87,26,48.3,W,-87.44675,E,286.0,S,POINT (-87.4467499997602 31.0161388886022)
21,21,2022-12-01 00:00:00+00:00,00146.,A,AL,AUO,AUBURN,US,ASO,JAN,ALABAMA,LEE,AL,AUBURN UNIVERSITY RGNL,PU,PU,32,36,54.4,N,32.61511111,85,26,2.4,W,-85.434,E,776.8,S,POINT (-85.4339999997077 32.6151111109661)
22,22,2022-12-01 00:00:00+00:00,00155.,A,AL,1R8,BAY MINETTE,US,ASO,JAN,ALABAMA,BALDWIN,AL,BAY MINETTE MUNI,PU,PU,30,52,13.2,N,30.87033333,87,49,9.6,W,-87.81933333,E,248.1,S,POINT (-87.81933333359 30.8703333331895)
24,24,2022-12-01 00:00:00+00:00,00155.31,A,AL,5R7,BAYOU LA BATRE,US,ASO,JAN,ALABAMA,MOBILE,AL,ROY E RAY,PR,PU,30,27,18.9,N,30.45525,88,12,40.3,W,-88.21119444,E,87.0,E,POINT (-88.2111944442468 30.455249999824)
26,26,2022-12-01 00:00:00+00:00,00157.1,A,AL,EKY,BESSEMER,US,ASO,JAN,ALABAMA,JEFFERSON,AL,BESSEMER,PU,PU,33,18,45.4,N,33.31261111,86,55,34.7,W,-86.92630556,E,699.6,S,POINT (-86.9263055556907 33.3126111109725)
28,28,2022-12-01 00:00:00+00:00,00164.,A,AL,BHM,BIRMINGHAM,US,ASO,JAN,ALABAMA,JEFFERSON,AL,BIRMINGHAM-SHUTTLESWORTH INTL,PU,PU,33,33,50.0,N,33.56388889,86,45,8.3,W,-86.75230556,E,650.0,S,POINT (-86.752305555673 33.5638888888381)
38,38,2022-12-01 00:00:00+00:00,00164.9,A,AL,AL40,BIRMINGHAM,US,ASO,JAN,ALABAMA,JEFFERSON,AL,BONHAM,PR,PR,33,32,35.383,N,33.54316194,86,59,8.98,W,-86.98582778,E,600.0,E,POINT (-86.9858277781945 33.5431619445079)
39,39,2022-12-01 00:00:00+00:00,00170.,A,AL,AL29,BLOUNTSVILLE,US,ASO,JAN,ALABAMA,CULLMAN,AL,NEW HORIZON,PR,PR,34,7,45.35,N,34.12926389,86,37,59.976,W,-86.63332667,E,750.0,E,POINT (-86.6333266670201 34.129263888645)
41,41,2022-12-01 00:00:00+00:00,00174.02,A,AL,8AL3,BOAZ,US,ASO,JAN,ALABAMA,ETOWAH,AL,FRICKS FLD,PR,PR,34,8,30.36,N,34.14176667,86,5,18.84,W,-86.08856667,E,1000.0,E,POINT (-86.0885666670609 34.1417666666957)
42,42,2022-12-01 00:00:00+00:00,00180.,A,AL,3AL6,ODENVILLE,US,ASO,JAN,ALABAMA,ST CLAIR,AL,TOWN & COUNTRY AIRPARK,PR,PR,33,39,24.4,N,33.65677778,86,24,44.9,W,-86.41247222,E,730.0,E,POINT (-86.4124722225306 33.6567777775821)
43,43,2022-12-01 00:00:00+00:00,00183.0,A,AL,AL30,BREMEN,US,ASO,JAN,ALABAMA,CULLMAN,AL,ROCKY SPRINGS AIRPARK,PR,PR,33,59,27.0,N,33.99083333,87,4,40.0,W,-87.07777778,E,649.0,E,POINT (-87.0777777774898 33.9908333335865)
44,44,2022-12-01 00:00:00+00:00,00186.,A,AL,12J,BREWTON,US,ASO,JAN,ALABAMA,ESCAMBIA,AL,BREWTON MUNI,PU,PU,31,3,2.561,N,31.05071139,87,4,2.16,W,-87.06726667,E,98.8,S,POINT (-87.0672666667071 31.0507113885114)
48,48,2022-12-01 00:00:00+00:00,00199.1,A,AL,09A,BUTLER,US,ASO,JAN,ALABAMA,CHOCTAW,AL,BUTLER/CHOCTAW COUNTY,PU,PU,32,7,9.5,N,32.11930556,88,7,38.9,W,-88.12747222,E,133.7,S,POINT (-88.1274722224366 32.1193055555955)
49,49,2022-12-01 00:00:00+00:00,00207.1,A,AL,61A,CAMDEN,US,ASO,JAN,ALABAMA,WILCOX,AL,CAMDEN MUNI,PU,PU,31,58,47.1,N,31.97975,87,20,20.8,W,-87.33911111,E,142.9,S,POINT (-87.3391111108773 31.9797500000555)
51,51,2022-12-01 00:00:00+00:00,00210.,A,AL,AL32,CEDAR BLUFF,US,ASO,JAN,ALABAMA,CHEROKEE,AL,FLYING BK RANCH,PR,PR,34,19,21.32,N,34.32258889,85,38,37.37,W,-85.64371389,E,670.0,E,POINT (-85.6437138892848 34.3225888886678)
53,53,2022-12-01 00:00:00+00:00,00218.11,A,AL,AL27,CENTRE,US,ASO,JAN,ALABAMA,CHEROKEE,AL,HEADQUARTERS,PR,PR,34,6,20.35,N,34.10565278,85,33,56.858,W,-85.56579389,E,610.0,E,POINT (-85.5657938885897 34.1056527779529)
54,54,2022-12-01 00:00:00+00:00,00218.12,A,AL,PYP,CENTRE,US,ASO,JAN,ALABAMA,CHEROKEE,AL,CENTRE-PIEDMONT-CHEROKEE COUNTY RGNL,PU,PU,34,5,23.7,N,34.08991667,85,36,36.3,W,-85.61008333,E,594.6,E,POINT (-85.6100833330065 34.0899166662991)
55,55,2022-12-01 00:00:00+00:00,00218.7,A,AL,0A8,CENTREVILLE,US,ASO,JAN,ALABAMA,BIBB,AL,BIBB COUNTY,PU,PU,32,56,12.98,N,32.93693889,87,5,25.97,W,-87.09054722,E,250.9,S,POINT (-87.0905472223541 32.936938889213)
56,56,2022-12-01 00:00:00+00:00,00225.,A,AL,5AL1,CHAPMAN,US,ASO,JAN,ALABAMA,BUTLER,AL,MC GOWIN FLD,PR,PR,31,40,50.566,N,31.68071278,86,40,54.901,W,-86.68191694,E,400.0,S,POINT (-86.6819169440816 31.6807127780003)
57,57,2022-12-01 00:00:00+00:00,00226.5,A,AL,5R1,CHATOM,US,ASO,JAN,ALABAMA,WASHINGTON,AL,ROY WILCOX,PU,PU,31,27,6.0008,N,31.45166689,88,11,39.9359,W,-88.19442664,E,166.0,E,POINT (-88.1944266384772 31.4516668888314)
58,58,2022-12-01 00:00:00+00:00,00226.51,A,AL,6AL6,CHATOM,US,ASO,JAN,ALABAMA,WASHINGTON,AL,HAWTHORN PINES,PR,PR,31,23,18.9,N,31.38858333,88,5,33.3,W,-88.09258333,E,150.0,E,POINT (-88.0925833330577 31.3885833335742)
61,61,2022-12-01 00:00:00+00:00,00233.,A,AL,02A,CLANTON,US,ASO,JAN,ALABAMA,CHILTON,AL,CHILTON COUNTY,PU,PU,32,51,1.7441,N,32.85048447,86,36,41.1569,W,-86.61143247,E,584.7,S,POINT (-86.611432472368 32.8504844720472)
62,62,2022-12-01 00:00:00+00:00,00233.1,A,AL,01AL,CLANTON,US,ASO,JAN,ALABAMA,CHILTON,AL,WARE ISLAND,PR,PR,32,56,45.442,N,32.94595611,86,30,49.926,W,-86.51386833,E,344.0,S,POINT (-86.5138683331269 32.9459561108946)
65,65,2022-12-01 00:00:00+00:00,00234.,A,AL,11A,CLAYTON,US,ASO,JAN,ALABAMA,BARBOUR,AL,CLAYTON MUNI,PU,PU,31,53,0.0,N,31.88333333,85,29,6.8,W,-85.48522222,E,434.9,S,POINT (-85.4852222219742 31.8833333331367)
66,66,2022-12-01 00:00:00+00:00,00241.,A,AL,1AL2,COLUMBIANA,US,ASO,JAN,ALABAMA,SHELBY,AL,TRI-L ACRES AIRPARK,PR,PR,33,14,49.75,N,33.24715278,86,35,52.5,W,-86.59791667,E,580.0,S,POINT (-86.5979166667415 33.2471527774349)
69,69,2022-12-01 00:00:00+00:00,00245.,A,AL,9A4,COURTLAND,US,ASO,JAN,ALABAMA,LAWRENCE,AL,COURTLAND,PU,PU,34,39,29.37,N,34.65815833,87,20,54.809,W,-87.34855806,E,588.0,E,POINT (-87.3485580558148 34.6581583334823)
70,70,2022-12-01 00:00:00+00:00,00245.6,A,AL,AL51,CRAWFORD,US,ASO,JAN,ALABAMA,RUSSELL,AL,FLYING C'S PLANTATION,PR,PR,32,24,58.0,N,32.41611111,85,17,57.0,W,-85.29916667,E,395.0,E,POINT (-85.2991666664519 32.4161111113713)
71,71,2022-12-01 00:00:00+00:00,00246.,A,AL,15A,CREOLA,US,ASO,JAN,ALABAMA,MOBILE,AL,MARK REYNOLDS/NORTH MOBILE COUNTY,PR,PU,30,54,32.9,N,30.90913889,87,59,46.8,W,-87.99633333,E,8.0,E,POINT (-87.9963333329575 30.9091388889864)
72,72,2022-12-01 00:00:00+00:00,00248.3,A,AL,CMD,CULLMAN,US,ASO,JAN,ALABAMA,CULLMAN,AL,CULLMAN RGNL/FOLSOM FLD,PU,PU,34,16,7.329,N,34.2687025,86,51,28.927,W,-86.85803528,E,969.7,S,POINT (-86.8580352775405 34.2687024998887)
76,76,2022-12-01 00:00:00+00:00,00250.1,A,AL,4R9,DAUPHIN ISLAND,US,ASO,JAN,ALABAMA,MOBILE,AL,JEREMIAH DENTON,PU,PU,30,15,37.734,N,30.26048167,88,7,38.903,W,-88.12747306,E,4.6,S,POINT (-88.1274730551748 30.2604816669866)
78,78,2022-12-01 00:00:00+00:00,00250.2,A,AL,4AL3,DAPHNE,US,ASO,JAN,ALABAMA,BALDWIN,AL,TREEO,PR,PR,30,35,30.5,N,30.59180556,87,49,21.3,W,-87.82258333,E,130.0, ,POINT (-87.8225833331851 30.5918055555681)
79,79,2022-12-01 00:00:00+00:00,00250.21,A,AL,54AL,DAPHNE,US,ASO,JAN,ALABAMA,BALDWIN,AL,BELFOREST FLD,PR,PR,30,35,51.135,N,30.5975375,87,49,16.8,W,-87.82133333,E,150.0,E,POINT (-87.8213333337555 30.5975375002128)
80,80,2022-12-01 00:00:00+00:00,00251.,A,AL,DCU,DECATUR,US,ASO,JAN,ALABAMA,LIMESTONE,AL,PRYOR FLD RGNL,PU,PU,34,39,14.6,N,34.65405556,86,56,43.3,W,-86.94536111,E,592.0,S,POINT (-86.9453611108759 34.6540555555284)
82,82,2022-12-01 00:00:00+00:00,00254.,A,AL,DYA,DEMOPOLIS,US,ASO,JAN,ALABAMA,MARENGO,AL,DEMOPOLIS RGNL,PU,PU,32,27,49.8,N,32.46383333,87,57,14.6,W,-87.95405556,E,111.7,S,POINT (-87.9540555551267 32.4638333336102)
86,86,2022-12-01 00:00:00+00:00,00267.,A,AL,DHN,DOTHAN,US,ASO,JAN,ALABAMA,DALE,AL,DOTHAN RGNL,PU,PU,31,19,15.7,N,31.32102778,85,26,58.1,W,-85.44947222,E,400.8,S,POINT (-85.449472221937 31.3210277779995)
88,88,2022-12-01 00:00:00+00:00,00267.6,A,AL,14J,ELBA,US,ASO,JAN,ALABAMA,COFFEE,AL,CARL FOLSOM,PU,PU,31,24,36.15,N,31.41004167,86,5,25.21,W,-86.09033611,E,258.0,E,POINT (-86.0903361110153 31.4100416663305)
89,89,2022-12-01 00:00:00+00:00,00267.7,A,AL,7AL9,ELBERTA,US,ASO,JAN,ALABAMA,BALDWIN,AL,HORAK,PR,PR,30,28,9.22,N,30.46922778,87,32,38.08,W,-87.54391111,E,110.0,E,POINT (-87.5439111107473 30.4692277777656)
90,90,2022-12-01 00:00:00+00:00,00267.81,A,AL,AL08,ELBERTA,US,ASO,JAN,ALABAMA,BALDWIN,AL,PERDIDO WINDS AIRPARK,PR,PR,30,25,30.03,N,30.42500833,87,32,12.14,W,-87.53670556,E,75.0,E,POINT (-87.5367055558685 30.4250083334386)
91,91,2022-12-01 00:00:00+00:00,00269.,A,AL,AL55,ELBERTA,US,ASO,JAN,ALABAMA,BALDWIN,AL,SHIELDS,PR,PR,30,26,30.71,N,30.44186389,87,27,49.926,W,-87.46386833,E,95.0,E,POINT (-87.4638683335436 30.4418638889396)
92,92,2022-12-01 00:00:00+00:00,00287.1,A,AL,EDN,ENTERPRISE,US,ASO,JAN,ALABAMA,COFFEE,AL,ENTERPRISE MUNI,PU,PU,31,17,59.0,N,31.29972222,85,53,59.4,W,-85.89983333,E,360.9,S,POINT (-85.8998333333896 31.2997222224652)
93,93,2022-12-01 00:00:00+00:00,00290.,A,AL,EUF,EUFAULA,US,ASO,JAN,ALABAMA,BARBOUR,AL,WEEDON FLD,PU,PU,31,57,4.7,N,31.95130556,85,7,44.1,W,-85.12891667,E,285.2,S,POINT (-85.1289166665198 31.9513055554812)
95,95,2022-12-01 00:00:00+00:00,00293.,A,AL,3A7,EUTAW,US,ASO,JAN,ALABAMA,GREENE,AL,EUTAW MUNI,PU,PU,32,49,13.5,N,32.82041667,87,51,54.3,W,-87.86508333,E,170.0,S,POINT (-87.865083333556 32.8204166666224)
97,97,2022-12-01 00:00:00+00:00,00296.,A,AL,GZH,EVERGREEN,US,ASO,JAN,ALABAMA,CONECUH,AL,EVERGREEN RGNL/MIDDLETON FLD,PU,PU,31,24,54.0,N,31.415,87,2,36.1,W,-87.04336111,E,259.0,S,POINT (-87.0433611108962 31.4150000003546)
99,99,2022-12-01 00:00:00+00:00,00300.3,A,AL,CQF,FAIRHOPE,US,ASO,JAN,ALABAMA,BALDWIN,AL,H L SONNY CALLAHAN,PU,PU,30,27,37.8,N,30.4605,87,52,37.3,W,-87.87702778,E,91.1,S,POINT (-87.8770277773414 30.4604999998035)
100,100,2022-12-01 00:00:00+00:00,00302.,A,AL,M95,FAYETTE,US,ASO,JAN,ALABAMA,FAYETTE,AL,RICHARD ARTHUR FLD,PU,PU,33,42,32.781,N,33.70910583,87,48,54.751,W,-87.81520861,E,357.4,S,POINT (-87.8152086111652 33.7091058333369)
102,102,2022-12-01 00:00:00+00:00,00305.,A,AL,4AL7,FLAT ROCK,US,ASO,JAN,ALABAMA,JACKSON,AL,LEON'S LANDING,PR,PR,34,44,41.0,N,34.74472222,85,41,23.4,W,-85.68983333,E,1430.0,E,POINT (-85.6898333330895 34.7447222223106)
104,104,2022-12-01 00:00:00+00:00,00306.,A,AL,0AL5,FLOMATON,US,ASO,JAN,ALABAMA,ESCAMBIA,AL,FLOMATON,PR,PR,31,1,56.0,N,31.03222222,87,15,10.0,W,-87.25277778,E,247.0,E,POINT (-87.2527777775902 31.0322222220454)
106,106,2022-12-01 00:00:00+00:00,00308.5,A,AL,0J4,FLORALA,US,ASO,JAN,ALABAMA,COVINGTON,AL,FLORALA MUNI,PU,PU,31,2,32.905,N,31.04247361,86,18,41.62,W,-86.31156111,E,314.3,S,POINT (-86.3115611114578 31.0424736107653)
108,108,2022-12-01 00:00:00+00:00,00310.1,A,AL,0AL9,FLORENCE,US,ASO,JAN,ALABAMA,LAUDERDALE,AL,WILSON CREEK,PR,PR,34,51,0.0,N,34.85,87,37,57.0,W,-87.6325,E,590.0,E,POINT (-87.6324999996268 34.8499999999143)
110,110,2022-12-01 00:00:00+00:00,00323.,A,AL,0AL1,FOLEY,US,ASO,JAN,ALABAMA,BALDWIN,AL,RESORT,PR,PR,30,26,38.0,N,30.44388889,87,39,25.0,W,-87.65694444,E,97.0,E,POINT (-87.6569444439968 30.4438888886875)
111,111,2022-12-01 00:00:00+00:00,00323.23,A,AL,02AL,FOLEY,US,ASO,JAN,ALABAMA,BALDWIN,AL,BASS FLD,PR,PR,30,22,17.27,N,30.37146389,87,45,52.0,W,-87.76444444,E,61.0, ,POINT (-87.7644444443537 30.3714638885239)
113,113,2022-12-01 00:00:00+00:00,00323.3,A,AL,5R4,FOLEY,US,ASO,JAN,ALABAMA,BALDWIN,AL,FOLEY MUNI,PU,PU,30,25,39.6,N,30.42766667,87,42,3.5,W,-87.70097222,E,74.3,S,POINT (-87.7009722226462 30.4276666667252)
114,114,2022-12-01 00:00:00+00:00,00323.4,A,AL,NBJ,FOLEY,US,ASO,JAN,ALABAMA,BALDWIN,AL,BARIN NOLF,MN,PR,30,23,25.1299,N,30.39031386,87,37,53.6163,W,-87.63156008,E,50.8,S,POINT (-87.6315600833619 30.3903138611447)
116,116,2022-12-01 00:00:00+00:00,00326.,A,AL,67A,FORT DEPOSIT,US,ASO,JAN,ALABAMA,LOWNDES,AL,FORT DEPOSIT-LOWNDES COUNTY,PU,PU,31,58,20.535,N,31.97237083,86,35,29.909,W,-86.59164139,E,490.0,E,POINT (-86.5916413892045 31.9723708330008)
117,117,2022-12-01 00:00:00+00:00,00328.,A,AL,2AL5,FORT PAYNE,US,ASO,JAN,ALABAMA,DE KALB,AL,FLYING J RANCH,PR,PR,34,23,34.0,N,34.39277778,85,39,54.0,W,-85.665,E,1430.0,E,POINT (-85.6649999999481 34.3927777779791)
118,118,2022-12-01 00:00:00+00:00,00328.1,A,AL,4A9,FORT PAYNE,US,ASO,JAN,ALABAMA,DE KALB,AL,ISBELL FLD,PU,PU,34,28,25.3,N,34.47369444,85,43,17.0,W,-85.72138889,E,876.7,S,POINT (-85.7213888888593 34.4736944446396)
120,120,2022-12-01 00:00:00+00:00,00329.,A,AL,OZR,FORT RUCKER/OZARK,US,ASO,JAN,ALABAMA,DALE,AL,CAIRNS AAF (FORT RUCKER),MR,PR,31,16,32.79,N,31.275775,85,42,48.06,W,-85.71335,E,301.0,E,POINT (-85.713350000129 31.2757749996581)
143,143,2022-12-01 00:00:00+00:00,00333.,A,AL,GAD,GADSDEN,US,ASO,JAN,ALABAMA,ETOWAH,AL,NORTHEAST ALABAMA RGNL,PU,PU,33,58,21.5359,N,33.97264886,86,5,20.7004,W,-86.08908344,E,569.2,S,POINT (-86.0890834444876 33.9726488608945)
146,146,2022-12-01 00:00:00+00:00,00336.5,A,AL,AL18,GARDENDALE,US,ASO,JAN,ALABAMA,JEFFERSON,AL,PARKER FLD,PR,PR,33,40,34.373,N,33.67621472,86,52,2.978,W,-86.86749389,E,590.0,S,POINT (-86.8674938888986 33.6762147218673)
147,147,2022-12-01 00:00:00+00:00,00341.1,A,AL,AL43,GEIGER,US,ASO,JAN,ALABAMA,SUMTER,AL,HENLEY RANCH,PR,PR,32,54,30.465,N,32.9084625,88,20,0.12,W,-88.33336667,E,200.0,E,POINT (-88.3333666667667 32.9084625001183)
148,148,2022-12-01 00:00:00+00:00,00344.1,A,AL,33J,GENEVA,US,ASO,JAN,ALABAMA,GENEVA,AL,GENEVA MUNI,PU,PU,31,3,9.45,N,31.052625,85,52,8.2,W,-85.86894444,E,100.3,E,POINT (-85.8689444443416 31.052624999912)
150,150,2022-12-01 00:00:00+00:00,00350.1,A,AL,7A0,GREENSBORO,US,ASO,JAN,ALABAMA,HALE,AL,GREENSBORO MUNI,PU,PU,32,40,53.545,N,32.68154028,87,39,43.449,W,-87.66206917,E,175.1,S,POINT (-87.6620691665044 32.6815402776159)
151,151,2022-12-01 00:00:00+00:00,00353.1,A,AL,PRN,GREENVILLE,US,ASO,JAN,ALABAMA,BUTLER,AL,MAC CRENSHAW MEML,PU,PU,31,50,44.5,N,31.84569444,86,36,38.7,W,-86.61075,E,451.4,S,POINT (-86.6107499997887 31.8456944444277)
152,152,2022-12-01 00:00:00+00:00,00353.11,A,AL,71AL,GREENVILLE,US,ASO,JAN,ALABAMA,BUTLER,AL,SELLS,PR,PR,31,48,31.63,N,31.80878611,86,31,24.69,W,-86.523525,E,380.0,E,POINT (-86.523524999649 31.8087861108779)
153,153,2022-12-01 00:00:00+00:00,00353.12,A,AL,68AL,GREENVILLE,US,ASO,JAN,ALABAMA,BUTLER,AL,HEART OF DIXIE AERO ESTATES,PR,PR,31,48,30.24,N,31.8084,86,31,30.0,W,-86.525,E,382.0,E,POINT (-86.5250000001078 31.808399999653)
158,158,2022-12-01 00:00:00+00:00,00359.7,A,AL,JKA,GULF SHORES,US,ASO,JAN,ALABAMA,BALDWIN,AL,GULF SHORES INTL/JACK EDWARDS FLD,PU,PU,30,17,22.7,N,30.28963889,87,40,18.4,W,-87.67177778,E,17.1,S,POINT (-87.6717777781078 30.2896388886764)
160,160,2022-12-01 00:00:00+00:00,00360.,A,AL,8A1,GUNTERSVILLE,US,ASO,JAN,ALABAMA,MARSHALL,AL,GUNTERSVILLE MUNI/JOE STARNES FLD,PU,PU,34,24,22.2811,N,34.40618919,86,15,39.133,W,-86.26087028,E,614.6,S,POINT (-86.2608702777163 34.4061891946988)
162,162,2022-12-01 00:00:00+00:00,00361.02,A,AL,AL10,GURLEY,US,ASO,JAN,ALABAMA,MADISON,AL,FRERICHS,PR,PR,34,39,4.323,N,34.65120083,86,25,0.954,W,-86.41693167,E,650.0,E,POINT (-86.4169316671118 34.6512008331675)
163,163,2022-12-01 00:00:00+00:00,00363.,A,AL,1M4,HALEYVILLE,US,ASO,JAN,ALABAMA,WINSTON,AL,POSEY FLD,PU,PU,34,16,49.2,N,34.28033333,87,36,1.5,W,-87.60041667,E,929.8,S,POINT (-87.6004166665595 34.2803333335319)
165,165,2022-12-01 00:00:00+00:00,00366.1,A,AL,HAB,HAMILTON,US,ASO,JAN,ALABAMA,MARION,AL,MARION COUNTY-RANKIN FITE,PU,PU,34,7,1.0,N,34.11694444,87,59,53.6,W,-87.99822222,E,436.0,S,POINT (-87.9982222223021 34.1169444444161)
167,167,2022-12-01 00:00:00+00:00,00368.2,A,AL,2AL7,HANCEVILLE,US,ASO,JAN,ALABAMA,CULLMAN,AL,MOUNT AERO LAKE FARM,PR,PR,34,3,46.0,N,34.06277778,86,43,23.0,W,-86.72305556,E,625.0,S,POINT (-86.7230555557243 34.0627777776866)
168,168,2022-12-01 00:00:00+00:00,00371.,A,AL,AL92,HARPERSVILLE,US,ASO,JAN,ALABAMA,SHELBY,AL,HAWK FLD,PR,PR,33,18,26.402,N,33.30733389,86,24,12.923,W,-86.40358972,E,420.0,E,POINT (-86.4035897223237 33.3073338889477)
169,169,2022-12-01 00:00:00+00:00,00372.,A,AL,AL62,HARTFORD,US,ASO,JAN,ALABAMA,GENEVA,AL,STRIPLIN AIRFIELD,PR,PR,31,4,58.641,N,31.08295583,85,41,0.759,W,-85.68354417,E,255.0,E,POINT (-85.6835441666999 31.0829558337021)
170,170,2022-12-01 00:00:00+00:00,00372.01,A,AL,3AL1,HARTFORD,US,ASO,JAN,ALABAMA,GENEVA,AL,FLYING H RANCH,PR,PR,31,3,1.5,N,31.05041667,85,41,7.0,W,-85.68527778,E,264.0,E,POINT (-85.685277777756 31.0504166663856)
172,172,2022-12-01 00:00:00+00:00,00374.1,A,AL,5M0,HARTSELLE,US,ASO,JAN,ALABAMA,MORGAN,AL,HARTSELLE/MORGAN COUNTY RGNL,PU,PU,34,24,29.6,N,34.40822222,86,55,58.6,W,-86.93294444,E,628.5,S,POINT (-86.9329444443052 34.4082222221128)
173,173,2022-12-01 00:00:00+00:00,00374.5,A,AL,00AL,HARVEST,US,ASO,JAN,ALABAMA,MADISON,AL,EPPS AIRPARK,PR,PR,34,51,53.317,N,34.86481028,86,46,12.999,W,-86.7702775,E,820.0,E,POINT (-86.7702775000805 34.8648102778484)
174,174,2022-12-01 00:00:00+00:00,00375.08,A,AL,8AL7,HAZEL GREEN,US,ASO,JAN,ALABAMA,MADISON,AL,HAZEL GREEN ACRES,PR,PR,34,58,49.7,N,34.98047222,86,41,32.3,W,-86.69230556,E,908.0,E,POINT (-86.6923055552023 34.9804722220785)
